customer_id,customer_name,segment,region,account_created
CUST1000,Customer 1000,Small Business,Central,2021-02-06
CUST1001,Customer 1001,Individual,North,2020-06-03
CUST1002,Customer 1002,Enterprise,Central,2020-03-04
CUST1003,Customer 1003,Education,Central,2021-03-11
CUST1004,Customer 1004,Enterprise,Central,2021-06-17
CUST1005,Customer 1005,Education,South,2022-01-19
CUST1006,Customer 1006,Education,South,2021-08-18
CUST1007,Customer 1007,Small Business,West,2022-10-23
CUST1008,Customer 1008,Enterprise,West,2022-01-15
CUST1009,Customer 1009,Enterprise,South,2020-12-05
CUST1010,Customer 1010,Small Business,West,2020-11-22
CUST1011,Customer 1011,Small Business,Central,2020-10-26
CUST1012,Customer 1012,Education,East,2020-03-23
CUST1013,Customer 1013,Small Business,West,2021-04-19
CUST1014,Customer 1014,Enterprise,East,2022-01-26
CUST1015,Customer 1015,Small Business,North,2021-02-27
CUST1016,Customer 1016,Individual,West,2022-08-19
CUST1017,Customer 1017,Education,North,2020-03-22
CUST1018,Customer 1018,Individual,North,2022-12-03
CUST1019,Customer 1019,Individual,East,2020-12-22
CUST1020,Customer 1020,Education,West,2022-01-18
CUST1021,Customer 1021,Enterprise,Central,2021-05-30
CUST1022,Customer 1022,Education,South,2022-11-23
CUST1023,Customer 1023,Education,East,2021-12-07
CUST1024,Customer 1024,Education,West,2020-01-14
CUST1025,Customer 1025,Small Business,West,2020-12-05
CUST1026,Customer 1026,Small Business,North,2022-11-19
CUST1027,Customer 1027,Individual,South,2020-11-03
CUST1028,Customer 1028,Small Business,South,2022-01-11
CUST1029,Customer 1029,Enterprise,South,2022-04-29
CUST1030,Customer 1030,Individual,North,2022-09-13
CUST1031,Customer 1031,Education,West,2021-03-07
CUST1032,Customer 1032,Small Business,West,2020-02-15
CUST1033,Customer 1033,Small Business,North,2020-09-18
CUST1034,Customer 1034,Small Business,South,2022-11-15
CUST1035,Customer 1035,Enterprise,Central,2020-10-27
CUST1036,Customer 1036,Enterprise,South,2021-06-12
CUST1037,Customer 1037,Small Business,Central,2022-04-10
CUST1038,Customer 1038,Enterprise,East,2020-06-24
CUST1039,Customer 1039,Small Business,West,2022-08-23
CUST1040,Customer 1040,Education,South,2021-03-25
CUST1041,Customer 1041,Education,Central,2020-10-19
CUST1042,Customer 1042,Small Business,Central,2022-11-12
CUST1043,Customer 1043,Individual,South,2021-12-02
CUST1044,Customer 1044,Education,Central,2020-05-20
CUST1045,Customer 1045,Small Business,West,2022-02-28
CUST1046,Customer 1046,Small Business,North,2020-02-03
CUST1047,Customer 1047,Small Business,Central,2022-10-29
CUST1048,Customer 1048,Education,South,2020-07-16
CUST1049,Customer 1049,Small Business,West,2020-03-20
CUST1050,Customer 1050,Enterprise,North,2022-09-14
CUST1051,Customer 1051,Small Business,Central,2020-01-03
CUST1052,Customer 1052,Education,Central,2022-05-11
CUST1053,Customer 1053,Individual,North,2022-12-21
CUST1054,Customer 1054,Education,South,2022-09-14
CUST1055,Customer 1055,Education,East,2020-07-19
CUST1056,Customer 1056,Education,South,2021-06-05
CUST1057,Customer 1057,Education,South,2020-06-20
CUST1058,Customer 1058,Individual,Central,2022-04-16
CUST1059,Customer 1059,Individual,South,2020-01-12
CUST1060,Customer 1060,Enterprise,Central,2022-12-06
CUST1061,Customer 1061,Enterprise,Central,2020-01-15
CUST1062,Customer 1062,Education,South,2021-10-08
CUST1063,Customer 1063,Education,East,2020-08-06
CUST1064,Customer 1064,Small Business,West,2021-06-03
CUST1065,Customer 1065,Individual,Central,2022-05-17
CUST1066,Customer 1066,Individual,Central,2021-07-18
CUST1067,Customer 1067,Education,South,2022-04-26
CUST1068,Customer 1068,Education,South,2022-01-28
CUST1069,Customer 1069,Education,East,2021-09-20
CUST1070,Customer 1070,Individual,West,2020-10-09
CUST1071,Customer 1071,Enterprise,South,2022-07-03
CUST1072,Customer 1072,Small Business,North,2021-03-15
CUST1073,Customer 1073,Education,East,2020-04-16
CUST1074,Customer 1074,Small Business,West,2020-01-11
CUST1075,Customer 1075,Enterprise,South,2022-08-23
CUST1076,Customer 1076,Education,North,2020-05-11
CUST1077,Customer 1077,Individual,South,2022-01-29
CUST1078,Customer 1078,Enterprise,Central,2020-03-18
CUST1079,Customer 1079,Education,West,2022-12-03
CUST1080,Customer 1080,Individual,Central,2020-04-27
CUST1081,Customer 1081,Small Business,West,2022-06-18
CUST1082,Customer 1082,Enterprise,South,2022-11-27
CUST1083,Customer 1083,Individual,South,2020-03-09
CUST1084,Customer 1084,Small Business,Central,2020-12-13
